State,Date,Clinton Votes,Sanders Votes,Clinton Delegates,Sanders Delegates,total_delegates,primary_occured
Iowa,02/01/16,701,697,23,21,44,TRUE
New Hampshire,02/09/16,95252,151584,9,15,24,TRUE
Nevada,02/20/16,6316,5678,20,15,35,TRUE
South Carolina,02/27/16,271514,95977,39,14,53,TRUE
Alabama,03/01/16,309928,76399,44,9,53,TRUE
Arkansas,03/01/16,144580,64848,22,10,32,TRUE
Colorado,03/01/16,49314,72155,28,38,66,TRUE
Georgia,03/01/16,543008,214332,73,29,102,TRUE
Massachusetts,03/01/16,603784,586716,46,45,91,TRUE
Minnesota,03/01/16,73510,118135,31,46,77,TRUE
Oklahoma,03/01/16,139338,174054,17,21,38,TRUE
Tennessee,03/01/16,245304,120333,44,23,67,TRUE
Texas,03/01/16,935080,475561,147,75,222,TRUE
Vermont,03/01/16,18335,115863,0,16,16,TRUE
Virginia,03/01/16,503358,275507,62,33,95,TRUE
Kansas,03/05/16,12593,26450,10,23,33,TRUE
Louisiana,03/05/16,221615,72240,37,14,51,TRUE
Nebraska,03/05/16,14340,19120,10,15,25,TRUE
Maine,03/06/16,1232,2231,16,9,25,TRUE
Michigan,03/08/16,576795,595222,67,63,130,TRUE
Mississippi,03/08/16,182447,36348,32,4,36,TRUE
Florida,03/15/16,1097400,566603,141,73,214,TRUE
Illinois,03/15/16,1017006,982017,76,73,149,TRUE
Missouri,03/15/16,310602,309071,46,34,80,TRUE
North Carolina,03/15/16,616383,460613,59,45,104,TRUE
Ohio,03/15/16,679226,513449,81,62,143,TRUE
Arizona,03/22/16,235697,163400,42,33,75,TRUE
Idaho,03/22/16,5065,18640,5,18,23,TRUE
Utah,03/22/16,15666,61333,6,27,33,TRUE
Alaska,03/26/16,99,440,3,13,16,TRUE
Washington,03/26/16,7140,19159,9,25,34,TRUE
Hawaii,03/26/16,10125,23530,8,27,35,TRUE
Wisconsin,04/05/16,432767,567936,38,48,86,TRUE
Wyoming,04/09/16,124,156,7,7,14,TRUE
New York,04/19/16,1054083,763469,139,108,247,TRUE
Delaware,04/26/16,55950,36659,12,9,21,TRUE
Connecticut,04/26/16,170075,152410,28,27,55,TRUE
Rhode Island,04/26/16,52493,66720,11,13,24,TRUE
Maryland,04/26/16,533247,281275,60,35,95,TRUE
Pennsylvania,04/26/16,918689,719955,106,83,189,TRUE
Indiana,05/03/16,303382,335256,39,44,83,TRUE
West Virginia,05/10/16,86354,123860,11,18,29,TRUE
Kentucky,05/17/16,212550,2210626,28,27,55,TRUE
Oregon,05/17/16,251739,320746,25,36,61,TRUE
North Dakota,06/07/16,101,253,5,13,18,FALSE
California,06/07/16,1940580,1502043,269,206,475,FALSE
Montana,06/07/16,55194,63168,10,11,21,FALSE
New Jersey,06/07/16,554237,323259,79,47,126,FALSE
New Mexico,06/07/16,110451,103856,18,16,34,FALSE
South Dakota,06/07/16,27046,25958,10,10,20,FALSE
