Data for states where primary has already occured
State,Sanders votes,Clinton votes,Sanders twitter supporters,Clinton twitter supporters,Sanders vote/twitter ratio,Sanders ratio uncertainty,Clinton vote/twitter ratio,Clinton ratio uncertainty,Ratio of (Sanders ratio) to (Clinton ratio),Ratio of ratios uncertainty
Iowa,697,701,18,10,38.72222222222222,9.12691530531525,70.1,22.16756639778034,0.5523854810588049,0.2178637717979834
New Hampshire,151584,95252,12,11,12632.0,3646.5443002016764,8659.272727272728,2610.8689630655585,1.4587830176794188,0.6089303931672163
Nevada,5678,6316,43,26,132.04651162790697,20.13690424066347,242.92307692307693,47.64113498202963,0.5435733537564251,0.13503980521316453
South Carolina,95977,271514,26,15,3691.423076923077,723.9476270060572,18100.933333333334,4673.640890054048,0.20393551033775847,0.06612298928057457
Alabama,76399,309928,11,11,6945.363636363636,2094.1059285815054,28175.272727272728,8495.164363845193,0.24650564001961744,0.10511035807576133
Arkansas,64848,144580,12,15,5404.0,1560.0004273503687,9638.666666666666,2488.6930319763037,0.5606584589846452,0.21714208745578448
Colorado,72155,49314,69,35,1045.7246376811595,125.8904526000533,1408.9714285714285,238.15963952961178,0.742190094472981,0.15401862996494978
Georgia,214332,543008,56,30,3827.3571428571427,511.4521116211941,18100.266666666666,3304.641450064058,0.21145308040712896,0.047841920054581606
Massachusetts,586716,603784,60,41,9778.6,1262.4118316407948,14726.439024390244,2299.8833816621977,0.6640166019636161,0.13454639665200338
Minnesota,118135,73510,29,15,4073.6206896551726,756.4523715705525,4900.666666666667,1265.3466923542544,0.8312380675394856,0.26436693368267067
Oklahoma,174054,139338,17,5,10238.470588235294,2483.1938635337588,27867.6,12462.769593954627,0.367396926475021,0.18691209115934132
Tennessee,120333,245304,41,28,2934.951219512195,458.36237291077157,8760.857142857143,1655.6463765545623,0.33500731397099703,0.08213114740047817
Texas,475561,935080,182,145,2612.9725274725274,193.68641004432413,6448.827586206897,535.5459813905875,0.4051856701924076,0.0451032938257532
Vermont,115863,18335,31,8,3737.516129032258,671.2777131847812,2291.875,810.3001770659594,1.6307678774070393,0.646693671965465
Virginia,275507,503358,50,37,5510.14,779.2514718574487,13604.27027027027,2236.5282554608116,0.4050301773290581,0.08783369320762013
Kansas,26450,12593,23,9,1150.0,239.79157616563595,1399.2222222222222,466.4074074074074,0.8218851743031843,0.3231476208905869
Louisiana,72240,221615,23,11,3140.8695652173915,654.9165770210036,20146.81818181818,6074.4942389637345,0.1558990375984988,0.0571508418571677
Maine,2231,1232,17,4,131.23529411764707,31.829234085650523,308.0,154.0,0.4260886172650879,0.23678551056812022
Michigan,595222,576795,77,44,7730.1558441558445,880.9330161228393,13108.977272727272,1976.2526817696723,0.5896841289242403,0.11143982551537784
Mississippi,36348,182447,6,11,6058.0,2473.168143630082,16586.090909090908,5000.894571289021,0.36524579740965873,0.18536926181609475
Florida,566603,1097400,171,158,3313.46783625731,253.3872184371577,6945.569620253164,552.5598504142064,0.4770620722878212,0.05264368001233201
Illinois,982017,1017006,86,37,11418.802325581395,1231.3211214293137,27486.64864864865,4518.777202256005,0.41543086869350976,0.08167727347163983
Missouri,309071,310602,27,18,11447.074074074075,2202.9904327000845,17255.666666666668,4067.1996379648895,0.6633805749265405,0.2018602806100068
North Carolina,460613,616383,51,43,9031.627450980392,1264.6808045968503,14334.488372093023,2185.9889831935316,0.6300627700506939,0.1304452979840674
Ohio,513449,679226,74,55,6938.5,806.5842414239901,12349.563636363637,1665.2148210234839,0.5618417139508793,0.10002570724611592
Arizona,163400,235697,76,35,2150.0,246.62191391085392,6734.2,1138.2875564385552,0.31926583707047607,0.06521884758590926
Idaho,18640,5065,6,6,3106.6666666666665,1268.2913557077343,844.1666666666666,344.6295985332443,3.680157946692991,2.1247401811835385
Utah,61333,15666,16,7,3833.3125,958.328125,2238.0,845.8844905946506,1.7128295352993745,0.7761917990077941
Alaska,440,99,10,9,44.0,13.914021704740872,11.0,3.666666666666667,4.0,1.8378731669453632
Washington,19159,7140,153,94,125.22222222222223,10.123616645035083,75.95744680851064,7.834412444987006,1.6485838779956428,0.2160478171988723
Hawaii,23530,10125,16,9,1470.625,367.65625,1125.0,375.0,1.3072222222222223,0.544675925925926
Wisconsin,567936,432767,34,22,16704.0,2864.7123662204676,19671.227272727272,4193.919746139475,0.8491590162835891,0.2323444162212592
Wyoming,156,124,3,3,52.0,30.022213997860536,41.333333333333336,23.863811126504533,1.2580645161290323,1.0272053760058488
New York,763469,1054083,220,186,3470.3136363636363,233.9684976340677,5667.112903225807,415.5328788791751,0.6123600668672546,0.06099609976362529
Delaware,36659,55950,4,3,9164.75,4582.375,18650.0,10767.58252038652,0.49140750670241284,0.37531868275555436
Connecticut,152410,170075,26,13,5861.923076923077,1149.6176983234857,13082.692307692309,3628.485995115609,0.44806702925180064,0.15220080209376258
Rhode Island,66720,52493,6,3,11120.0,4539.720989958156,17497.666666666668,10102.28256019034,0.6355133065361095,0.449375768585968
Maryland,281275,533247,38,28,7401.973684210527,1200.7586902251378,19044.535714285714,3599.0789524777033,0.3886665338162142,0.09680065613308592
Pennsylvania,719955,918689,61,50,11802.540983606557,1511.1605228211167,18373.78,2598.4448868059526,0.6423578046328278,0.12254301882071947
Indiana,335256,303382,53,23,6325.584905660377,868.8859099468242,13190.521739130434,2750.413911541889,0.4795553224324076,0.11974121450786579
West Virginia,123860,86354,8,4,15482.5,5473.890369860362,21588.5,10794.25,0.7171642309562962,0.4391716069046085
Kentucky,2210626,212550,28,10,78950.92857142857,14920.32305554457,21255.0,6721.421166687891,3.7144638236381353,1.368386924304913
Oregon,320746,251739,94,34,3412.191489361702,351.94067984310954,7404.088235294118,1269.7906566232364,0.4608523535816773,0.09222813132298635

Data for states where primary hasn't occured yet
State,Sanders twitter supporters,Clinton twitter supporters,Predicted Sanders delegates,Predicted Sanders delegate uncertainty,Predicted Clinton delegates,Predicted Clinton delegate uncertainty
North Dakota,4,2,9.617676916894181,2.0121675850852685,8.382323083105817,1.4313694109026789
